ticket_id,customer_id,ticket_text,product,created_at,previous_tickets,resolution_time,priority,category,resolved
RGT-000908,CUST-2AE5E127,"Bought a bundle in the store, got charged but the content never appeared in my collection.",Wild Rift,2024-04-14 23:32:06,11.0,9.23,LOW,Missing RP / Purchase Issue,True
RGT-000255,CUST-023FE7E6,Constant 'Connection Error' messages in client even though my internet is working perfectly.,Legends of Runeterra,2023-11-20 13:21:26,5.0,,MEDIUM,Client Bug / Crash,False
RGT-002417,CUST-8A8F6164,I purchased the Battle Pass but didn't receive the rewards. Transaction ID: TXN-248E26FE.,Teamfight Tactics,2024-02-09 21:21:09,6.0,,MEDIUM,Missing RP / Purchase Issue,False
RGT-ND-9016,CUST-3D51023D,Cannot log into my account after password reset.,League of Legends,2023-06-15 14:30:00,2.0,10.0,MEDIUM,Missing RP / Purchase Issue,True
RGT-000347,CUST-59C64C72,I got permabanned for 'toxic behaviour' but all I did was mute my teammates. This seems unfair.,Legends of Runeterra,2023-08-09 21:14:15,1.0,,HIGH,Account Ban / Suspension,False
RGT-000300,CUST-676E48EA,Audio cuts out completely mid-game after around 20 minutes of play. Rolling back drivers did not fix it.,Wild Rift,2023-07-02 05:46:04,0.0,26.03,MEDIUM,Client Bug / Crash,True
RGT-002046,CUST-023FE7E6,Remake did not trigger even though a player was AFK from champion select. Lost LP unfairly.,League of Legends,2023-10-19 07:28:41,21.0,5.7,LOW,Ranked & Matchmaking,True
RGT-001296,CUST-192FC186,My League account got banned out of nowhere. I was just playing ranked and then I got logged out. Can you explain why?,Valorant,2024-04-11 02:25:31,0.0,5.21,HIGH,Account Ban / Suspension,True
RGT-001358,CUST-AB7EE0E4,This player in my last game was clearly using an aimbot. Every bullet was a headshot through smoke.,Legends of Runeterra,2024-02-13 04:22:56,2.0,7.53,MEDIUM,Cheat / Hacker Report,True
RGT-001423,CUST-12B61267,My Riot Points are missing after I topped up. I have the bank receipt. Please refund or credit my account.,Valorant,2023-10-25 13:24:39,2.0,2.61,MEDIUM,Missing RP / Purchase Issue,True
RGT-002483,CUST-ABA4C4B7,,Teamfight Tactics,2023-12-07 09:38:44,31.0,35.19,LOW,Account Ban / Suspension,True
RGT-000140,CUST-C4731564,"My MMR seems stuck. I win 8 games in a row and gain 18 LP, then lose once and drop 25 LP.",Valorant,2024-05-27 19:15:05,3.0,53.03,LOW,Ranked & Matchmaking,True
RGT-002604,CUST-5C8E2E99,Someone is ddosing our team. Two of my teammates disconnected within seconds of each other.,Teamfight Tactics,2024-05-26 19:31:40,25.0,3.37,MEDIUM,Cheat / Hacker Report,True
RGT-000247,CUST-59C64C72,"After updating, all my settings were reset. Also my custom game configurations are gone.",League of Legends,2023-10-10 05:11:40,,6.98,HIGH,Client Bug / Crash,True
RGT-000901,CUST-8B477CDC,My Pulsefire Ezreal skin's recall animation is broken. It just shows the default animation instead.,Wild Rift,2024-05-06 00:55:56,0.0,3.88,MEDIUM,Champion / Skin Bug,True
RGT-002131,CUST-14D5F5EB,Possible griefing bot detected on the enemy team. All five of them stood still in base.,League of Legends,2023-04-19 03:48:15,1.0,0.71,HIGH,Cheat / Hacker Report,True
RGT-001682,CUST-FA9DBD80,Player using Elo-boosting service. They were clearly being played by someone else based on behaviour change.,League of Legends,2023-02-08 14:28:10,15.0,91.75,LOW,Cheat / Hacker Report,True
RGT-002335,CUST-E365E0A1,Client keeps logging me out randomly. I have to re-enter my password multiple times per session.,League of Legends,2023-06-02 04:19:44,24.0,35.98,LOW,Client Bug / Crash,True
RGT-000890,CUST-77E302EC,This player in my last game was clearly using an aimbot. Every bullet was a headshot through smoke.,League of Legends,2023-07-31 22:02:30,2.0,99.81,LOW,Cheat / Hacker Report,True
RGT-001269,CUST-FA9DBD80,There is a blatant scripter in my ranked game. They had 0ms reaction time and perfect skill shots all game.,Valorant,2023-02-22 14:24:26,12.0,95.36,LOW,Cheat / Hacker Report,True
RGT-001927,CUST-5F210E14,I was gifted a skin I already owned. The duplicate was auto-converted to orange essence. I want a refund.,Valorant,2024-02-16 21:37:32,23.0,57.01,LOW,Refund Request,True
RGT-001621,CUST-3FA730C7,My account RiotUser#23925 was permanently banned but I never cheated. Please review the ban.,League of Legends,2023-06-25 07:13:15,4.0,2.69,HIGH,Account Ban / Suspension,True
RGT-000701,CUST-64865559,"After the latest patch, my client freezes on the loading screen. I cannot get into any game.",Legends of Runeterra,2023-10-31 06:04:32,1.0,4.86,HIGH,Client Bug / Crash,True
RGT-001062,CUST-0298C4C2,I received a 14-day suspension for allegedly using scripts. I have never used any third-party software. Please investigate.,Wild Rift,2023-02-13 11:39:33,2.0,3.79,HIGH,Account Ban / Suspension,True
RGT-000486,CUST-66CFECED,I accidentally purchased the wrong champion. Can I get a refund? I only have one refund token left.,Valorant,2024-06-28 07:40:47,0.0,19.36,MEDIUM,Missing RP / Purchase Issue,True
RGT-001357,CUST-ABA4C4B7,Matchmaking is putting me against players 3 tiers above me. This has been happening all week.,Legends of Runeterra,,17.0,38.91,MEDIUM,Ranked & Matchmaking,True
RGT-002311,CUST-100E8CC8,"My smurf account was banned, now my main account is also restricted. I do not understand what happened.",Teamfight Tactics,2023-07-30 06:49:49,1.0,23.26,MEDIUM,Account Ban / Suspension,True
RGT-002182,CUST-E0EBF5E1,I was charged twice for the same RP bundle. I see two transactions on my statement for $35.00.,Legends of Runeterra,2023-01-26 22:50:36,25.0,-5.0,HIGH,Missing RP / Purchase Issue,True
RGT-000762,CUST-4CF66CD9,There is a blatant scripter in my ranked game. They had 0ms reaction time and perfect skill shots all game.,League of Legends,2023-08-01 15:18:53,6.0,59.2,LOW,Cheat / Hacker Report,True
RGT-000747,CUST-B0F7884C,My account RiotUser#45146 was permanently banned but I never cheated. Please review the ban.,Legends of Runeterra,2023-12-25 08:35:52,0.0,29.62,MEDIUM,Account Ban / Suspension,True
RGT-000322,CUST-595CB38B,The Arcane Vi skin causes my game to crash during the level-up animation. Reproducible every time.,Teamfight Tactics,2023-04-18 12:06:56,1.0,7.39,MEDIUM,Champion / Skin Bug,True
RGT-002708,CUST-7D5033BE,My League account got banned out of nowhere. I was just playing ranked and then I got logged out. Can you explain why?,Legends of Runeterra,2024-02-24 16:02:14,5.0,,LOW,Account Ban / Suspension,False
RGT-000189,CUST-375F8B4C,I received a 14-day suspension for allegedly using scripts. I have never used any third-party software. Please investigate.,Teamfight Tactics,2023-12-20 13:30:05,0.0,2.86,HIGH,Account Ban / Suspension,True
RGT-000773,CUST-E573FEE4,The Lunar New Year bundle charged me but only delivered half the content. Missing the ward skin and icon.,Wild Rift,2023-09-12 01:48:23,2.0,54.79,MEDIUM,Missing RP / Purchase Issue,True
RGT-002497,CUST-E365E0A1,I was in promo series but the server crashed mid-game. The loss was counted against me.,Legends of Runeterra,2024-05-13 22:25:49,26.0,11.98,MEDIUM,Ranked & Matchmaking,True
RGT-001452,CUST-CDB94453,,Legends of Runeterra,2023-02-17 12:42:22,21.0,34.51,MEDIUM,Account Ban / Suspension,True
RGT-002355,CUST-75103BB2,Requesting a refund on a bundle because it was not clearly labelled that it included champions I already own.,Valorant,2023-04-19 11:40:13,5.0,2.22,MEDIUM,Refund Request,True
RGT-000411,CUST-47259181,Getting a black screen on launch. The process shows in Task Manager but nothing displays.,Teamfight Tactics,2023-01-20 08:38:22,0.0,,HIGH,Client Bug / Crash,False
RGT-001728,CUST-B1B46D9C,I purchased the Battle Pass but didn't receive the rewards. Transaction ID: TXN-3264490D.,Legends of Runeterra,2023-03-24 05:01:35,2.0,13.83,MEDIUM,Missing RP / Purchase Issue,True
RGT-002853,CUST-5C770011,I used 'Login with Google' but Google account is now deleted. How do I recover my Riot account?,Wild Rift,2023-06-08 23:50:01,3.0,4.68,HIGH,Login / 2FA Issue,True
RGT-002217,CUST-0AC56119,I used 'Login with Google' but Google account is now deleted. How do I recover my Riot account?,Legends of Runeterra,2023-04-11 12:58:36,5.0,51.08,MEDIUM,Login / 2FA Issue,True
RGT-001399,CUST-946EF12C,Duo partner and I are being put into the wrong queue tier. We are Diamond 2 and 3 but matched in Plat.,Teamfight Tactics,2023-12-24 19:55:54,3.0,16.39,LOW,Ranked & Matchmaking,True
RGT-001362,CUST-5B4081EE,Packet loss of around 15 percent during peak hours. Unplayable. Other games are fine.,Wild Rift,2024-03-02 01:35:47,16.0,2.93,HIGH,Server Latency / Lag,True
RGT-001658,CUST-B0F7884C,"My smurf account was banned, now my main account is also restricted. I do not understand what happened.",Teamfight Tactics,2023-05-22 14:17:56,1.0,,LOW,Account Ban / Suspension,False
RGT-000052,CUST-776C9714,Blatant cheater in Diamond ranked. Please investigate account RiotUser#97835. They were toggling aimbot openly.,Teamfight Tactics,2024-05-29 15:27:08,0.0,11.62,HIGH,Cheat / Hacker Report,True
RGT-001625,CUST-E5F60461,My clash tournament registration was cancelled without notification. Please refund the ticket fee.,Teamfight Tactics,2023-11-29 10:42:18,5.0,9.97,MEDIUM,Ranked & Matchmaking,True
RGT-000064,CUST-E669E68E,"Purchased RP via prepaid card, entered the code but nothing was credited. Code: RITO-AF8428.",Wild Rift,2023/99/01 00:00,0.0,17.8,LOW,Missing RP / Purchase Issue,True
RGT-002790,CUST-8C949838,"Purchased RP via prepaid card, entered the code but nothing was credited. Code: RITO-4A6FBC.",Legends of Runeterra,2024-01-26 12:10:52,1.0,0.54,HIGH,Missing RP / Purchase Issue,True
RGT-002554,CUST-47E2D332,My Riot Points are missing after I topped up. I have the bank receipt. Please refund or credit my account.,Wild Rift,2023/99/01 00:00,4.0,127.76,MEDIUM,Missing RP / Purchase Issue,True
RGT-002531,CUST-8F2E22DF,Kindred's Q ability is not applying on-hit effects correctly with the Spirit Blossom skin equipped.,Valorant,2023-03-13 22:22:23,7.0,0.54,HIGH,Champion / Skin Bug,True
RGT-001091,CUST-1D5272DD,Someone is ddosing our team. Two of my teammates disconnected within seconds of each other.,Legends of Runeterra,2023-09-19 23:27:15,3.0,294.02,LOW,Cheat / Hacker Report,True
RGT-001466,CUST-0A3C71EC,I keep getting matched against the same scripter. Already reported in-game but they are still playing.,Teamfight Tactics,2024-03-18 16:44:29,2.0,14.43,MEDIUM,Cheat / Hacker Report,True
RGT-001897,CUST-731C8BAA,,Teamfight Tactics,2024-02-02 16:05:08,2.0,3.86,HIGH,Missing RP / Purchase Issue,True
RGT-000053,CUST-404297A8,"My smurf account was banned, now my main account is also restricted. I do not understand what happened.",Teamfight Tactics,2023-10-09 00:03:21,1.0,3.9,HIGH,Account Ban / Suspension,True
RGT-002808,CUST-EE8A5B94,Matchmaking is putting me against players 3 tiers above me. This has been happening all week.,Valorant,2023-10-03 20:04:14,2.0,62.3,LOW,Ranked & Matchmaking,True
RGT-002764,CUST-789EB511,The authenticator app code is being rejected. I re-scanned the QR code and still getting errors.,Valorant,2024-01-27 14:56:38,2.0,27.42,MEDIUM,Login / 2FA Issue,True
RGT-002552,CUST-B33E8B23,I lost LP for a loss that was not my fault. My teammates went AFK in the first 5 minutes.,League of Legends,2023-05-15 16:43:37,2.0,36.1,LOW,Ranked & Matchmaking,True
RGT-002865,CUST-24CD11C8,Ranked queue dodging penalty applied even though I did not dodge. I was in loading screen.,Wild Rift,2023-07-17 10:44:51,3.0,5.45,MEDIUM,Ranked & Matchmaking,True
RGT-000545,CUST-66FA087D,Matchmaking is putting me against players 3 tiers above me. This has been happening all week.,Legends of Runeterra,2023-06-06 16:40:11,2.0,190.26,LOW,Ranked & Matchmaking,True
RGT-002949,CUST-5C8E2E99,"After the latest patch, my client freezes on the loading screen. I cannot get into any game.",Valorant,2023/99/01 00:00,30.0,,MEDIUM,Client Bug / Crash,False
RGT-000451,CUST-0981939A,My Riot Points are missing after I topped up. I have the bank receipt. Please refund or credit my account.,Valorant,2024-01-01 21:46:40,1.0,5.34,HIGH,Missing RP / Purchase Issue,True
RGT-002516,CUST-F7406204,Login fails with 'incorrect password' even after a password reset. I have cleared cookies and cache.,Legends of Runeterra,2023-07-31 01:23:17,7.0,,MEDIUM,Login / 2FA Issue,False
RGT-000045,CUST-121B8EE4,This player in my last game was clearly using an aimbot. Every bullet was a headshot through smoke.,League of Legends,2024-01-07 19:52:46,0.0,13.94,MEDIUM,Cheat / Hacker Report,True
RGT-DUPE-0059,CUST-FFECECC1,I received a 14-day suspension for allegedly using scripts. I have never used any third-party software. Please investigate.,Teamfight Tactics,2023-04-29 03:34:47,3.0,129.84,LOW,Account Ban / Suspension,True
RGT-001832,CUST-9C359572,My League account got banned out of nowhere. I was just playing ranked and then I got logged out. Can you explain why?,League of Legends,2023-04-18 14:42:24,2.0,36.44,MEDIUM,Account Ban / Suspension,True
RGT-000830,CUST-8F2E22DF,Chat restriction applied to my account but I have honour level 5. Seems like an error in your system.,League of Legends,2023-03-15 14:59:54,2.0,30.32,MEDIUM,Chat Restriction Appeal,True
RGT-000599,CUST-F18BE5FC,I got permabanned for 'toxic behaviour' but all I did was mute my teammates. This seems unfair.,Valorant,2024-05-31 17:01:34,1.0,293.07,LOW,Account Ban / Suspension,True
RGT-000409,CUST-4FF8A434,Login fails with 'incorrect password' even after a password reset. I have cleared cookies and cache.,Teamfight Tactics,2023-10-02 06:39:02,,8.03,MEDIUM,Login / 2FA Issue,True
RGT-002918,CUST-BF047177,Got a chat ban that escalated to a full account suspension. The context was taken out of context. I want to appeal.,Legends of Runeterra,2024-01-14 04:33:19,1.0,22.61,LOW,Account Ban / Suspension,True
RGT-000257,CUST-3D51023D,Jinx's passive is not triggering correctly after the latest patch. The movement speed buff is inconsistent.,Valorant,2024-03-08 07:45:01,1.0,,MEDIUM,Champion / Skin Bug,False
RGT-002029,CUST-8B48B472,,Teamfight Tactics,2024-06-16 12:51:03,1.0,3.91,HIGH,Champion / Skin Bug,True
RGT-002304,CUST-8BF6B4F0,The EUW server has been unstable all weekend. Multiple disconnects per gaming session.,League of Legends,2023-01-22 08:59:41,3.0,19.75,MEDIUM,Server Latency / Lag,True
RGT-001838,CUST-EC1A721E,Lost 40 LP for a game I disconnected from due to power outage. Can this be reversed?,Legends of Runeterra,2023-12-28 00:16:49,1.0,48.18,MEDIUM,Ranked & Matchmaking,True
RGT-001703,CUST-C91C1ECE,Matchmaking is putting me against players 3 tiers above me. This has been happening all week.,Legends of Runeterra,2023-06-19 04:40:03,23.0,27.3,MEDIUM,Ranked & Matchmaking,True
RGT-002491,CUST-285CB8C0,I want to appeal my chat restriction. The logs being cited were from a conversation I did not start.,Valorant,2024-03-20 11:14:33,3.0,,LOW,Chat Restriction Appeal,False
RGT-001663,CUST-D6D08728,I used 'Login with Google' but Google account is now deleted. How do I recover my Riot account?,Valorant,2023-11-02 03:10:07,3.0,3.1,HIGH,Login / 2FA Issue,True
RGT-000145,CUST-653899C4,I got permabanned for 'toxic behaviour' but all I did was mute my teammates. This seems unfair.,Legends of Runeterra,2024-02-03 07:35:35,0.0,154.37,LOW,Account Ban / Suspension,True
RGT-002091,CUST-CDB94453,2FA is sending codes but they expire before I can enter them. Clock sync on my phone is correct.,Wild Rift,2023-09-14 07:12:37,26.0,4.67,MEDIUM,Login / 2FA Issue,True
RGT-001293,CUST-7204AB09,The authenticator app code is being rejected. I re-scanned the QR code and still getting errors.,Legends of Runeterra,2024-03-14 12:04:20,1.0,,MEDIUM,Login / 2FA Issue,False
RGT-002156,CUST-7859EB08,I purchased an emote for a character I no longer play. Refund would be appreciated.,Teamfight Tactics,2024-05-13 03:12:09,3.0,0.001,MEDIUM,Refund Request,True
RGT-000417,CUST-01E0218A,,Valorant,2023-08-23 13:33:20,2.0,43.18,MEDIUM,Client Bug / Crash,True
RGT-000930,CUST-CC7B8839,Ranked queue dodging penalty applied even though I did not dodge. I was in loading screen.,Teamfight Tactics,2023-11-13 21:38:32,3.0,27.94,MEDIUM,Ranked & Matchmaking,True
RGT-002023,CUST-47E2D332,Constant 'Connection Error' messages in client even though my internet is working perfectly.,Wild Rift,2024-06-19 16:32:41,2.0,9.01,MEDIUM,Client Bug / Crash,True
RGT-000171,CUST-6D4FBE82,Packet loss of around 15 percent during peak hours. Unplayable. Other games are fine.,Wild Rift,2023-06-01 13:27:31,0.0,40.53,MEDIUM,Server Latency / Lag,True
RGT-001126,CUST-7A4D8589,Player using Elo-boosting service. They were clearly being played by someone else based on behaviour change.,League of Legends,2023-01-03 08:25:31,1.0,27.25,LOW,Cheat / Hacker Report,True
RGT-000568,CUST-FE972C20,I received a 25-game chat restriction for a single game where I was defending myself. This is disproportionate.,League of Legends,2023-11-29 08:56:15,10.0,201.48,LOW,Chat Restriction Appeal,True
RGT-001591,CUST-BC359A86,Client keeps logging me out randomly. I have to re-enter my password multiple times per session.,Wild Rift,2023-04-05 18:07:51,8.0,,LOW,Client Bug / Crash,False
RGT-002674,CUST-AD716FA9,My League account got banned out of nowhere. I was just playing ranked and then I got logged out. Can you explain why?,Valorant,2024-01-04 13:32:28,8.0,4.4,LOW,Account Ban / Suspension,True
RGT-000135,CUST-E0EBF5E1,"Hello, my account was flagged and restricted. I believe this is a false positive from your anti-cheat. I need an appeal.",Legends of Runeterra,2024-03-14 00:03:59,2.0,1.43,MEDIUM,Account Ban / Suspension,True
RGT-001718,CUST-5948519D,"Purchased RP via prepaid card, entered the code but nothing was credited. Code: RITO-ED93D2.",Legends of Runeterra,Jan 2023,2.0,14.84,HIGH,Missing RP / Purchase Issue,True
RGT-000643,CUST-5F210E14,The Dragon Trainer Tristana skin has a missing particle effect on her W ability.,Teamfight Tactics,2023-04-08 15:32:18,10.0,72.43,LOW,Champion / Skin Bug,True
RGT-001690,CUST-EBCA371A,Permanent ban issued on my account. I have 3000 hours on this game and have never violated ToS. Please help.,League of Legends,2023-12-27 09:29:51,2.0,65.37,LOW,Account Ban / Suspension,True
RGT-002746,CUST-2C65B41B,Constant 'Connection Error' messages in client even though my internet is working perfectly.,League of Legends,2023-10-30 12:59:28,5.0,9.35,MEDIUM,Client Bug / Crash,True
RGT-000555,CUST-7742CF32,RP purchase failed but the money was deducted from my account. This is the second time this has happened.,League of Legends,2024-01-10 09:08:41,1.0,,LOW,Missing RP / Purchase Issue,False
RGT-DUPE-0015,CUST-B1E10B09,My Riot Points are missing after I topped up. I have the bank receipt. Please refund or credit my account.,Legends of Runeterra,2023-02-28 08:02:05,1.0,15.47,LOW,Missing RP / Purchase Issue,True
RGT-002175,CUST-023FE7E6,Duo partner and I are being put into the wrong queue tier. We are Diamond 2 and 3 but matched in Plat.,Valorant,2023-10-10 20:57:29,22.0,65.95,LOW,Ranked & Matchmaking,True
RGT-001539,CUST-1C74A8CE,Chat restriction applied to my account but I have honour level 5. Seems like an error in your system.,Valorant,2023-07-31 20:06:22,2.0,,HIGH,Chat Restriction Appeal,False
RGT-001000,CUST-4CF66CD9,Remake did not trigger even though a player was AFK from champion select. Lost LP unfairly.,Wild Rift,2023-11-27 14:30:57,9.0,8.34,MEDIUM,Ranked & Matchmaking,True
RGT-000292,CUST-B703A4B4,Account banned with no explanation. I spent over $500 on this account. Please look into this immediately.,League of Legends,2023-06-22 12:06:34,0.0,,LOW,Account Ban / Suspension,False
RGT-001339,CUST-437BA32B,I was banned for account sharing. I let my brother play once. Is there a way to appeal this decision?,Legends of Runeterra,2023-04-15 07:55:23,0.0,65.1,MEDIUM,Account Ban / Suspension,True
RGT-002248,CUST-724261F7,I purchased an emote for a character I no longer play. Refund would be appreciated.,Valorant,2023-07-07 06:27:59,1.0,42.89,MEDIUM,Refund Request,True
RGT-DUPE-0035,CUST-47E2D332,I got permabanned for 'toxic behaviour' but all I did was mute my teammates. This seems unfair.,Valorant,Jan 2023,1.0,9.18,MEDIUM,Account Ban / Suspension,True
RGT-000444,CUST-0AC56119,Possible griefing bot detected on the enemy team. All five of them stood still in base.,League of Legends,2023-04-27 11:29:56,1.0,5.11,MEDIUM,Cheat / Hacker Report,True
RGT-002602,CUST-AD716FA9,I bought 3250 RP but it never showed up in my account. I was charged on my card though.,League of Legends,2023-11-13 21:36:59,7.0,19.66,MEDIUM,Missing RP / Purchase Issue,True
RGT-002150,CUST-52F9765C,Requesting a refund on a bundle because it was not clearly labelled that it included champions I already own.,Wild Rift,2023-05-27 09:41:17,5.0,0.83,HIGH,Refund Request,True
RGT-000450,CUST-5F210E14,RP purchase failed but the money was deducted from my account. This is the second time this has happened.,Teamfight Tactics,2023-01-07 02:38:05,6.0,57.73,MEDIUM,Missing RP / Purchase Issue,True
RGT-001030,CUST-C70E83D6,My Riot Points are missing after I topped up. I have the bank receipt. Please refund or credit my account.,Legends of Runeterra,2023-07-22 13:44:24,2.0,12.49,LOW,Missing RP / Purchase Issue,True
RGT-001993,CUST-C07C5C1F,Someone is ddosing our team. Two of my teammates disconnected within seconds of each other.,League of Legends,2023-05-22 20:58:47,1.0,1.2,HIGH,Cheat / Hacker Report,True
RGT-002404,CUST-C70E83D6,"My smurf account was banned, now my main account is also restricted. I do not understand what happened.",Teamfight Tactics,2024-02-19 04:41:23,5.0,9.97,HIGH,Account Ban / Suspension,True
RGT-002751,CUST-023FE7E6,My League account got banned out of nowhere. I was just playing ranked and then I got logged out. Can you explain why?,Wild Rift,2023-05-23 17:59:20,26.0,0.32,MEDIUM,Account Ban / Suspension,True
RGT-000001,CUST-FE972C20,I lost LP for a loss that was not my fault. My teammates went AFK in the first 5 minutes.,Wild Rift,2023-03-14 00:54:28,0.0,11.47,MEDIUM,Ranked & Matchmaking,True
